FIPStxt,state,county,attribute,value
5005,AR,Baxter ,N_POP_CHG_2021,538
5005,AR,Baxter ,N_POP_CHG_2022,261
5005,AR,Baxter ,N_POP_CHG_2023,390
5005,AR,Baxter ,BIRTHS_2020,77
5005,AR,Baxter ,BIRTHS_2021,344
5005,AR,Baxter ,BIRTHS_2022,348
5005,AR,Baxter ,BIRTHS_2023,349
5005,AR,Baxter ,DEATHS_2020,196
5005,AR,Baxter ,DEATHS_2021,861
5005,AR,Baxter ,DEATHS_2022,911
5005,AR,Baxter ,DEATHS_2023,801
5005,AR,Baxter ,NATURAL_CHG_2020,-119
5005,AR,Baxter ,NATURAL_CHG_2021,-517
5005,AR,Baxter ,NATURAL_CHG_2022,-563
5005,AR,Baxter ,NATURAL_CHG_2023,-452
5005,AR,Baxter ,INTERNATIONAL_MIG_2020,0
5005,AR,Baxter ,INTERNATIONAL_MIG_2021,-1
5005,AR,Baxter ,INTERNATIONAL_MIG_2022,-5
5005,AR,Baxter ,INTERNATIONAL_MIG_2023,-4
5005,AR,Baxter ,DOMESTIC_MIG_2020,198
5005,AR,Baxter ,DOMESTIC_MIG_2021,1099
5005,AR,Baxter ,DOMESTIC_MIG_2022,799
5005,AR,Baxter ,DOMESTIC_MIG_2023,843
5005,AR,Baxter ,NET_MIG_2020,198
5005,AR,Baxter ,NET_MIG_2021,1098
5005,AR,Baxter ,NET_MIG_2022,794
5005,AR,Baxter ,NET_MIG_2023,839
5005,AR,Baxter ,RESIDUAL_2020,-21
5005,AR,Baxter ,RESIDUAL_2021,-43
5005,AR,Baxter ,RESIDUAL_2022,30
5005,AR,Baxter ,RESIDUAL_2023,3
5005,AR,Baxter ,GQ_ESTIMATES_BASE_2020,522
5005,AR,Baxter ,GQ_ESTIMATES_2020,522
5005,AR,Baxter ,GQ_ESTIMATES_2021,522
5005,AR,Baxter ,GQ_ESTIMATES_2022,522
5005,AR,Baxter ,GQ_ESTIMATES_2023,522
5005,AR,Baxter ,R_BIRTH_2021,8.2
5005,AR,Baxter ,R_BIRTH_2022,8.2
5005,AR,Baxter ,R_BIRTH_2023,8.2
5005,AR,Baxter ,R_DEATH_2021,20.5
5005,AR,Baxter ,R_DEATH_2022,21.5
5005,AR,Baxter ,R_DEATH_2023,18.8
5005,AR,Baxter ,R_NATURAL_CHG_2021,-12.3
5005,AR,Baxter ,R_NATURAL_CHG_2022,-13.3
5005,AR,Baxter ,R_NATURAL_CHG_2023,-10.6
5005,AR,Baxter ,R_INTERNATIONAL_MIG_2021,0
5005,AR,Baxter ,R_INTERNATIONAL_MIG_2022,-0.1
5005,AR,Baxter ,R_INTERNATIONAL_MIG_2023,-0.1
5005,AR,Baxter ,R_DOMESTIC_MIG_2021,26.2
5005,AR,Baxter ,R_DOMESTIC_MIG_2022,18.9
5005,AR,Baxter ,R_DOMESTIC_MIG_2023,19.8
5005,AR,Baxter ,R_NET_MIG_2021,26.2
5005,AR,Baxter ,R_NET_MIG_2022,18.7
5005,AR,Baxter ,R_NET_MIG_2023,19.7
5007,AR,Benton ,Rural_Urban_Continuum_Code_2013,2
5007,AR,Benton ,Rural_Urban_Continuum_Code_2023,2
5007,AR,Benton ,Urban_Influence_2013,2
5007,AR,Benton ,Economic_typology_2015,0
5007,AR,Benton ,CENSUS_2020_POP,284333
5007,AR,Benton ,ESTIMATES_BASE_2020,284340
5007,AR,Benton ,POP_ESTIMATE_2020,286618
5007,AR,Benton ,POP_ESTIMATE_2021,294297
5007,AR,Benton ,POP_ESTIMATE_2022,302822
5007,AR,Benton ,POP_ESTIMATE_2023,311013
5007,AR,Benton ,N_POP_CHG_2020,2278
5007,AR,Benton ,N_POP_CHG_2021,7679
5007,AR,Benton ,N_POP_CHG_2022,8525
5007,AR,Benton ,N_POP_CHG_2023,8191
5007,AR,Benton ,BIRTHS_2020,916
5007,AR,Benton ,BIRTHS_2021,3564
5007,AR,Benton ,BIRTHS_2022,3882
5007,AR,Benton ,BIRTHS_2023,3908
5007,AR,Benton ,DEATHS_2020,491
5007,AR,Benton ,DEATHS_2021,2453
5007,AR,Benton ,DEATHS_2022,2551
5007,AR,Benton ,DEATHS_2023,2211
5007,AR,Benton ,NATURAL_CHG_2020,425
5007,AR,Benton ,NATURAL_CHG_2021,1111
5007,AR,Benton ,NATURAL_CHG_2022,1331
5007,AR,Benton ,NATURAL_CHG_2023,1697
5007,AR,Benton ,INTERNATIONAL_MIG_2020,34
5007,AR,Benton ,INTERNATIONAL_MIG_2021,329
5007,AR,Benton ,INTERNATIONAL_MIG_2022,885
5007,AR,Benton ,INTERNATIONAL_MIG_2023,1096
5007,AR,Benton ,DOMESTIC_MIG_2020,1954
5007,AR,Benton ,DOMESTIC_MIG_2021,6395
5007,AR,Benton ,DOMESTIC_MIG_2022,6089
5007,AR,Benton ,DOMESTIC_MIG_2023,5376
