county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,IsNCA,EducationGap,BachelorsDegreePct_Norm,HighSchoolGradPct_Norm,PovertyRate_Norm,UnemploymentRate_Norm,Population_Norm,EducationGap_Norm,HighPoverty,LowBachelorRate,HighUnemployment,LargePopulation,WideEducationGap
montgomery,0.19542909883990717,0.42866017656612526,18.8,4.9,8620.0,0,0.2332310777262181,0.4887467614094562,0.46346650661059474,0.3559870550161812,0.6190476190476192,0.010064041601748246,0.37826982536584874,0,1,0,0,0
nevada,0.14372211268472906,0.6008199631773399,23.2,3.7,8120.0,0,0.4570978504926108,0.3529428406144526,0.6523735366109711,0.4983818770226537,0.33333333333333337,0.008799397017462214,0.7366522772952891,1,1,0,0,0
newton,0.20156862593692548,0.5441000091924764,18.8,3.4,7071.0,0,0.3425313832555509,0.5048716975853922,0.5901360172695025,0.3559870550161812,0.26190476190476186,0.006146172679630116,0.553245821169902,0,1,0,0,0
ouachita,0.06926454150415272,0.19393485628412793,18.8,3.9,21793.0,0,0.12467031477997521,0.1573864786781899,0.20590773523215247,0.3559870550161812,0.38095238095238093,0.04338236781934805,0.20447774390941778,0,1,0,1,0
perry,0.16822274518853103,0.43412321327572667,14.1,3.6,10184.0,0,0.26590046808719564,0.4172916298861439,0.4694609729137181,0.20388349514563103,0.30952380952380953,0.014019849861394955,0.43056939656136833,0,1,0,0,0
phillips,0.09713393884098656,0.22457417913241096,34.2,6.5,14961.0,0,0.1274402402914244,0.2305830370151497,0.2395275694246908,0.8543689320388349,0.9999999999999999,0.02610226421966371,0.20891204509752195,1,1,1,0,0
pike,0.19161447531347964,0.3611249015478057,18.2,3.5,10208.0,0,0.16951042623432605,0.47872798310180115,0.3893615807443686,0.3365695792880258,0.2857142857142857,0.014080552801440686,0.2762611036694155,0,1,0,0,0
poinsett,0.05324348519891057,0.20526042456579008,19.1,3.3,22397.0,0,0.15201693936687952,0.11530856187600329,0.21833502449213982,0.3656957928802589,0.23809523809523803,0.04491005847716558,0.24825623881663503,0,1,0,1,0
polk,0.08850545137888455,0.184342040954929,18.8,3.6,19436.0,0,0.09583658957604446,0.20792106200915456,0.19538175649547224,0.3559870550161812,0.30952380952380953,0.0374208332490237,0.15831858858167505,0,1,0,0,0
pope,0.0381405795984085,0.054189168547675456,13.5,3.9,64593.0,0,0.01604858894926696,0.07564208837879283,0.05256796091383549,0.1844660194174757,0.38095238095238093,0.15163594423423243,0.030588068568278403,0,1,0,1,0
prairie,0.20788951406172226,0.5464704178695868,15.4,3.1,8036.0,0,0.33858090380786454,0.5214729627931115,0.5927370129601587,0.24595469255663427,0.19047619047619047,0.008586936727302161,0.5469216021120069,0,1,0,0,0
pulaski,0.009340053121304771,0.006281534122982233,15.7,3.2,400009.0,0,-0.003058518998322538,0.0,0.0,0.25566343042071193,0.2142857142857143,1.0000000000000002,0.0,0,1,0,1,0
randolph,0.07658085476278627,0.21450918342412864,18.5,3.5,18907.0,0,0.13792832866134236,0.17660214178617017,0.22848347786507517,0.34627831715210355,0.2857142857142857,0.036082839278849074,0.22570215101460747,0,1,0,0,0
saline,0.021994847716362852,0.025271750474632256,9.3,2.7,129574.0,0,0.003276902758269404,0.033236721972282356,0.020837533785727315,0.04854368932038833,0.09523809523809534,0.3159916836972137,0.010142210722373866,0,1,0,1,0
scott,0.10991803349913716,0.43805569221398843,19.5,3.0,9851.0,0,0.3281376587148513,0.26415935440446736,0.4737759928808587,0.37864077669902907,0.16666666666666663,0.013177596568260458,0.5302032846221679,0,1,0,0,0
searcy,0.17536011068408913,0.4674038574173712,20.2,4.3,7806.0,1,0.2920437467332821,0.4360373021930706,0.5059790690675847,0.4012944983818769,0.47619047619047616,0.008005200218530585,0.47242148647573895,1,1,0,0,0
