county,births_2022,deaths_2022,domestic_mig_2022,gq_estimates_2022,international_mig_2022,n_pop_chg_2022,natural_chg_2022,net_mig_2022,pop_estimate_2022,r_birth_2022,r_death_2022,r_domestic_mig_2022,r_international_mig_2022,r_natural_chg_2022,r_net_mig_2022,residual_2022,civilian_labor_force_2022,employed_2022,med_hh_income_percent_of_state_total_2022,median_household_income_2022,unemployed_2022,unemployment_rate_2022,state
"klamath county, or",,,,,,,,,,,,,,,,,30074.0,28373.0,72.7,54961.0,1701.0,5.7,
kleberg county,359.0,334.0,-340.0,1308.0,60.0,-249.0,25.0,-280.0,30376.0,11.8,11.0,-11.1,2.0,0.8,-9.2,6.0,,,,,,,
"kleberg county, tx",,,,,,,,,,,,,,,,,13104.0,12469.0,71.0,51342.0,635.0,4.8,
klickitat county,209.0,277.0,87.0,637.0,114.0,136.0,-68.0,201.0,23303.0,9.0,11.9,3.7,4.9,-2.9,8.7,3.0,,,,,,,
"klickitat county, wa",,,,,,,,,,,,,,,,,9760.0,9221.0,77.1,70371.0,539.0,5.5,
knott county,107.0,277.0,-12.0,526.0,4.0,-185.0,-170.0,-8.0,13847.0,7.7,19.9,-0.9,0.3,-12.2,-0.6,-7.0,,,,,,,
"knott county, ky",,,,,,,,,,,,,,,,,4228.0,3963.0,64.9,38456.0,265.0,6.3,
knox county,470.0,747.0,-554.0,3623.0,136.0,-690.0,-277.0,-418.0,48620.0,9.6,15.3,-11.3,2.8,-5.7,-8.5,5.0,,,,,,,
"knox county, il",,,,,,,,,,,,,,,,,19876.0,18800.0,75.1,57666.0,1076.0,5.4,
"knox county, in",,,,,,,,,,,,,,,,,17983.0,17494.0,87.2,58238.0,489.0,2.7,
"knox county, ky",,,,,,,,,,,,,,,,,9868.0,9329.0,61.7,36573.0,539.0,5.5,
"knox county, me",,,,,,,,,,,,,,,,,20021.0,19447.0,94.4,65615.0,574.0,2.9,
"knox county, mo",,,,,,,,,,,,,,,,,1678.0,1633.0,76.5,49552.0,45.0,2.7,
"knox county, ne",,,,,,,,,,,,,,,,,4668.0,4570.0,78.6,54880.0,98.0,2.1,
"knox county, oh",,,,,,,,,,,,,,,,,30837.0,29760.0,103.9,68334.0,1077.0,3.5,
"knox county, tn",,,,,,,,,,,,,,,,,251747.0,244518.0,107.3,70013.0,7229.0,2.9,
"knox county, tx",,,,,,,,,,,,,,,,,1483.0,1423.0,65.3,47207.0,60.0,4.0,
kodiak island borough,160.0,85.0,-429.0,457.0,98.0,-239.0,75.0,-331.0,12639.0,12.5,6.7,-33.6,7.7,5.9,-25.9,17.0,,,,,,,
"kodiak island borough, ak",,,,,,,,,,,,,,,,,5941.0,5671.0,94.5,83222.0,270.0,4.5,
koochiching county,102.0,189.0,-1.0,227.0,1.0,-95.0,-87.0,0.0,11848.0,8.6,15.9,-0.1,0.1,-7.3,0.0,-8.0,,,,,,,
"koochiching county, mn",,,,,,,,,,,,,,,,,5847.0,5623.0,76.6,63035.0,224.0,3.8,
kootenai county,1893.0,2065.0,3366.0,1748.0,-56.0,3232.0,-172.0,3310.0,183290.0,10.4,11.4,18.5,-0.3,-0.9,18.2,94.0,,,,,,,
"kootenai county, id",,,,,,,,,,,,,,,,,85447.0,82545.0,104.1,75583.0,2902.0,3.4,
kosciusko county,925.0,935.0,252.0,1530.0,127.0,327.0,-10.0,379.0,80564.0,11.5,11.6,3.1,1.6,-0.1,4.7,-42.0,,,,,,,
"kosciusko county, in",,,,,,,,,,,,,,,,,40564.0,39520.0,107.3,71611.0,1044.0,2.6,
kossuth county,163.0,210.0,-8.0,315.0,10.0,-50.0,-47.0,2.0,14465.0,11.2,14.5,-0.6,0.7,-3.2,0.1,-5.0,,,,,,,
"kossuth county, ia",,,,,,,,,,,,,,,,,8289.0,8093.0,94.0,65510.0,196.0,2.4,
kusilvak census area,219.0,87.0,-307.0,14.0,1.0,-163.0,132.0,-306.0,8214.0,26.4,10.5,-37.0,0.1,15.9,-36.9,11.0,,,,,,,
"kusilvak census area, ak",,,,,,,,,,,,,,,,,2245.0,1942.0,47.5,41824.0,303.0,13.5,
la crosse county,1112.0,1185.0,948.0,4844.0,44.0,921.0,-73.0,992.0,120252.0,9.3,9.9,7.9,0.4,-0.6,8.3,2.0,,,,,,,
"la crosse county, wi",,,,,,,,,,,,,,,,,65448.0,63805.0,98.6,70075.0,1643.0,2.5,
la paz county,165.0,400.0,294.0,176.0,84.0,150.0,-235.0,378.0,16535.0,10.0,24.3,17.9,5.1,-14.3,23.0,7.0,,,,,,,
"la paz county, az",,,,,,,,,,,,,,,,,8869.0,8454.0,72.5,53925.0,415.0,4.7,
la plata county,426.0,462.0,371.0,1879.0,27.0,384.0,-36.0,398.0,56553.0,7.6,8.2,6.6,0.5,-0.6,7.1,22.0,,,,,,,
"la plata county, co",,,,,,,,,,,,,,,,,30534.0,29602.0,89.1,79358.0,932.0,3.1,
la salle county,76.0,86.0,-185.0,1433.0,34.0,-152.0,-10.0,-151.0,6556.0,11.5,13.0,-27.9,5.1,-1.5,-22.8,9.0,,,,,,,
"la salle county, tx",,,,,,,,,,,,,,,,,4116.0,3997.0,56.1,40555.0,119.0,2.9,
labette county,215.0,317.0,-110.0,415.0,7.0,-212.0,-102.0,-103.0,19702.0,10.9,16.0,-5.6,0.4,-5.1,-5.2,-7.0,,,,,,,
"labette county, ks",,,,,,,,,,,,,,,,,9441.0,9157.0,76.0,52318.0,284.0,3.0,
lac qui parle county,66.0,106.0,-2.0,130.0,0.0,-44.0,-40.0,-2.0,6656.0,9.9,15.9,-0.3,0.0,-6.0,-0.3,-2.0,,,,,,,
"lac qui parle county, mn",,,,,,,,,,,,,,,,,3391.0,3304.0,82.0,67556.0,87.0,2.6,
lackawanna county,2110.0,2954.0,271.0,8466.0,402.0,-293.0,-844.0,673.0,215750.0,9.8,13.7,1.3,1.9,-3.9,3.1,-122.0,,,,,,,
"lackawanna county, pa",,,,,,,,,,,,,,,,,104935.0,100315.0,85.2,61168.0,4620.0,4.4,
laclede county,471.0,552.0,266.0,378.0,13.0,189.0,-81.0,279.0,36345.0,13.0,15.2,7.3,0.4,-2.2,7.7,-9.0,,,,,,,
"laclede county, mo",,,,,,,,,,,,,,,,,16341.0,15912.0,82.2,53224.0,429.0,2.6,
lafayette county,68.0,106.0,-6.0,59.0,18.0,-30.0,-38.0,12.0,6129.0,11.1,17.3,-1.0,2.9,-6.2,2.0,-4.0,,,,,,,
"lafayette county, ar",,,,,,,,,,,,,,,,,2289.0,2183.0,76.5,42437.0,106.0,4.6,
"lafayette county, fl",,,,,,,,,,,,,,,,,2823.0,2734.0,73.3,50775.0,89.0,3.2,
"lafayette county, mo",,,,,,,,,,,,,,,,,16627.0,16174.0,108.8,70457.0,453.0,2.7,
"lafayette county, ms",,,,,,,,,,,,,,,,,28016.0,27149.0,117.0,61736.0,867.0,3.1,
"lafayette county, wi",,,,,,,,,,,,,,,,,10222.0,9974.0,94.7,67311.0,248.0,2.4,
lafayette parish,3362.0,2391.0,1371.0,2781.0,592.0,2834.0,971.0,1963.0,247714.0,13.7,9.7,5.6,2.4,3.9,8.0,-100.0,,,,,,,
"lafayette parish, la",,,,,,,,,,,,,,,,,115683.0,112040.0,105.7,58641.0,3643.0,3.1,
lafourche parish,1120.0,1216.0,-1822.0,2427.0,28.0,-1848.0,-96.0,-1794.0,95751.0,11.6,12.6,-18.8,0.3,-1.0,-18.6,42.0,,,,,,,
"lafourche parish, la",,,,,,,,,,,,,,,,,40406.0,39042.0,107.4,59575.0,1364.0,3.4,
lagrange county,704.0,315.0,-64.0,168.0,19.0,327.0,389.0,-45.0,40854.0,17.3,7.7,-1.6,0.5,9.6,-1.1,-17.0,,,,,,,
"lagrange county, in",,,,,,,,,,,,,,,,,21442.0,20970.0,121.3,81010.0,472.0,2.2,
lajas municipio,,,,,,,,,22929.0,,,,,,,,,,,,,,
"lajas municipio, pr",,,,,,,,,,,,,,,,,5652.0,5092.0,,,560.0,9.9,
lake and peninsula borough,18.0,14.0,-48.0,31.0,1.0,-42.0,4.0,-47.0,1377.0,12.9,10.0,-34.3,0.7,2.9,-33.6,1.0,,,,,,,
"lake and peninsula borough, ak",,,,,,,,,,,,,,,,,647.0,609.0,71.6,63038.0,38.0,5.9,
lake county,683.0,977.0,-183.0,561.0,39.0,-473.0,-294.0,-144.0,68172.0,10.0,14.3,-2.7,0.6,-4.3,-2.1,-35.0,,,,,,,
"lake county, ca",,,,,,,,,,,,,,,,,28370.0,26937.0,56.7,51848.0,1433.0,5.1,
"lake county, co",,,,,,,,,,,,,,,,,4772.0,4646.0,80.1,71326.0,126.0,2.6,
"lake county, fl",,,,,,,,,,,,,,,,,171178.0,165847.0,97.6,67637.0,5331.0,3.1,
"lake county, il",,,,,,,,,,,,,,,,,362741.0,346849.0,132.4,101621.0,15892.0,4.4,
"lake county, in",,,,,,,,,,,,,,,,,226746.0,216160.0,99.1,66169.0,10586.0,4.7,
"lake county, mi",,,,,,,,,,,,,,,,,3829.0,3562.0,72.5,48545.0,267.0,7.0,
"lake county, mn",,,,,,,,,,,,,,,,,5349.0,5096.0,89.5,73724.0,253.0,4.7,
"lake county, mt",,,,,,,,,,,,,,,,,14275.0,13831.0,84.3,57225.0,444.0,3.1,
"lake county, oh",,,,,,,,,,,,,,,,,124804.0,119559.0,115.8,76163.0,5245.0,4.2,
"lake county, or",,,,,,,,,,,,,,,,,3661.0,3473.0,72.3,54707.0,188.0,5.1,
"lake county, sd",,,,,,,,,,,,,,,,,6711.0,6576.0,105.8,74668.0,135.0,2.0,
"lake county, tn",,,,,,,,,,,,,,,,,1636.0,1554.0,58.4,38088.0,82.0,5.0,
lake of the woods county,38.0,50.0,68.0,27.0,1.0,60.0,-12.0,69.0,3886.0,9.9,13.0,17.6,0.3,-3.1,17.9,3.0,,,,,,,
"lake of the woods county, mn",,,,,,,,,,,,,,,,,2411.0,2337.0,75.5,62143.0,74.0,3.1,
lamar county,168.0,241.0,52.0,152.0,-1.0,-30.0,-73.0,51.0,13706.0,12.2,17.6,3.8,-0.1,-5.3,3.7,-8.0,,,,,,,
"lamar county, al",,,,,,,,,,,,,,,,,5711.0,5561.0,86.3,51523.0,150.0,2.6,
"lamar county, ga",,,,,,,,,,,,,,,,,8370.0,8087.0,84.6,61542.0,283.0,3.4,
"lamar county, ms",,,,,,,,,,,,,,,,,31649.0,30707.0,118.1,62326.0,942.0,3.0,
"lamar county, tx",,,,,,,,,,,,,,,,,24445.0,23382.0,86.6,62620.0,1063.0,4.3,
lamb county,168.0,176.0,-155.0,173.0,39.0,-123.0,-8.0,-116.0,12786.0,13.1,13.7,-12.1,3.0,-0.6,-9.0,1.0,,,,,,,
"lamb county, tx",,,,,,,,,,,,,,,,,5277.0,5065.0,73.3,53008.0,212.0,4.0,
lamoille county,217.0,256.0,-37.0,626.0,45.0,-46.0,-39.0,8.0,26103.0,8.3,9.8,-1.4,1.7,-1.5,0.3,-15.0,,,,,,,
"lamoille county, vt",,,,,,,,,,,,,,,,,14147.0,13725.0,87.4,65190.0,422.0,3.0,
lamoure county,51.0,47.0,-7.0,247.0,0.0,-3.0,4.0,-7.0,4076.0,12.5,11.5,-1.7,0.0,1.0,-1.7,0.0,,,,,,,
"lamoure county, nd",,,,,,,,,,,,,,,,,2098.0,2061.0,106.1,77744.0,37.0,1.8,
lampasas county,213.0,329.0,641.0,190.0,14.0,566.0,-116.0,655.0,22790.0,9.5,14.6,28.5,0.6,-5.2,29.1,27.0,,,,,,,
"lampasas county, tx",,,,,,,,,,,,,,,,,9415.0,9062.0,94.0,67917.0,353.0,3.7,
lancaster county,3653.0,2768.0,-585.0,13202.0,870.0,1030.0,885.0,285.0,324434.0,11.3,8.5,-1.8,2.7,2.7,0.9,-140.0,,,,,,,
"lancaster county, ne",,,,,,,,,,,,,,,,,179486.0,175851.0,97.9,68358.0,3635.0,2.0,
"lancaster county, pa",,,,,,,,,,,,,,,,,289525.0,280002.0,114.8,82434.0,9523.0,3.3,
"lancaster county, sc",,,,,,,,,,,,,,,,,43866.0,42310.0,109.2,70113.0,1556.0,3.5,
"lancaster county, va",,,,,,,,,,,,,,,,,5387.0,5199.0,70.9,60857.0,188.0,3.5,
lander county,63.0,76.0,14.0,42.0,1.0,0.0,-13.0,15.0,5761.0,10.9,13.2,2.4,0.2,-2.3,2.6,-2.0,,,,,,,
"lander county, nv",,,,,,,,,,,,,,,,,3038.0,2939.0,124.7,90190.0,99.0,3.3,
lane county,18.0,33.0,-1.0,16.0,0.0,-17.0,-15.0,-1.0,1544.0,11.6,21.3,-0.6,0.0,-9.7,-0.6,-1.0,,,,,,,
"lane county, ks",,,,,,,,,,,,,,,,,725.0,704.0,94.3,64934.0,21.0,2.9,
"lane county, or",,,,,,,,,,,,,,,,,182468.0,174653.0,84.9,64192.0,7815.0,4.3,
langlade county,175.0,319.0,165.0,264.0,6.0,23.0,-144.0,171.0,19502.0,9.0,16.4,8.5,0.3,-7.4,8.8,-4.0,,,,,,,
"langlade county, wi",,,,,,,,,,,,,,,,,9286.0,8948.0,81.3,57745.0,338.0,3.6,
lanier county,142.0,121.0,44.0,352.0,65.0,126.0,21.0,109.0,10177.0,14.0,12.0,4.4,6.4,2.1,10.8,-4.0,,,,,,,
"lanier county, ga",,,,,,,,,,,,,,,,,3753.0,3620.0,69.7,50671.0,133.0,3.5,
lapeer county,788.0,1216.0,354.0,1560.0,111.0,-30.0,-428.0,465.0,88632.0,8.9,13.7,4.0,1.3,-4.8,5.2,-67.0,,,,,,,
"lapeer county, mi",,,,,,,,,,,,,,,,,40436.0,38693.0,108.7,72737.0,1743.0,4.3,
laporte county,1183.0,1391.0,-468.0,6365.0,27.0,-691.0,-208.0,-441.0,111822.0,10.5,12.4,-4.2,0.2,-1.9,-3.9,-42.0,,,,,,,
"laporte county, in",,,,,,,,,,,,,,,,,46784.0,45021.0,99.4,66336.0,1763.0,3.8,
laramie county,1131.0,1289.0,144.0,1619.0,2.0,-46.0,-158.0,146.0,100781.0,11.2,12.8,1.4,0.0,-1.6,1.4,-34.0,,,,,,,
"laramie county, wy",,,,,,,,,,,,,,,,,48401.0,46734.0,101.0,71956.0,1667.0,3.4,
lares municipio,,,,,,,,,27754.0,,,,,,,,,,,,,,
"lares municipio, pr",,,,,,,,,,,,,,,,,7785.0,6881.0,,,904.0,11.6,
larimer county,3111.0,2968.0,4148.0,12156.0,400.0,4830.0,143.0,4548.0,367577.0,8.5,8.1,11.4,1.1,0.4,12.5,139.0,,,,,,,
"larimer county, co",,,,,,,,,,,,,,,,,210007.0,204240.0,99.1,88338.0,5767.0,2.7,
larue county,157.0,225.0,187.0,157.0,-1.0,123.0,-68.0,186.0,15150.0,10.4,14.9,12.4,-0.1,-4.5,12.3,5.0,,,,,,,
"larue county, ky",,,,,,,,,,,,,,,,,5730.0,5469.0,91.0,53939.0,261.0,4.6,
las animas county,113.0,248.0,91.0,399.0,17.0,-23.0,-135.0,108.0,14311.0,7.9,17.3,6.4,1.2,-9.4,7.5,4.0,,,,,,,
"las animas county, co",,,,,,,,,,,,,,,,,6072.0,5787.0,55.1,49097.0,285.0,4.7,
"las marias municipio, pr",,,,,,,,,,,,,,,,,2809.0,2467.0,,,342.0,12.2,
las marías municipio,,,,,,,,,8704.0,,,,,,,,,,,,,,
las piedras municipio,,,,,,,,,34795.0,,,,,,,,,,,,,,
"las piedras municipio, pr",,,,,,,,,,,,,,,,,12462.0,11713.0,,,749.0,6.0,
lasalle county,1123.0,1449.0,-710.0,2886.0,59.0,-979.0,-326.0,-651.0,108181.0,10.3,13.3,-6.5,0.5,-3.0,-6.0,-2.0,,,,,,,
"lasalle county, il",,,,,,,,,,,,,,,,,51828.0,49181.0,84.3,64711.0,2647.0,5.1,
lasalle parish,168.0,201.0,12.0,1998.0,9.0,-21.0,-33.0,21.0,14821.0,11.3,13.6,0.8,0.6,-2.2,1.4,-9.0,,,,,,,
"lasalle parish, la",,,,,,,,,,,,,,,,,6700.0,6523.0,100.3,55633.0,177.0,2.6,
lassen county,289.0,234.0,-2118.0,6243.0,32.0,-1865.0,55.0,-2086.0,30020.0,9.3,7.6,-68.4,1.0,1.8,-67.4,166.0,,,,,,,
"lassen county, ca",,,,,,,,,,,,,,,,,8701.0,8297.0,65.9,60308.0,404.0,4.6,
latah county,434.0,315.0,310.0,2674.0,121.0,524.0,119.0,431.0,40924.0,10.7,7.7,7.6,3.0,2.9,10.6,-26.0,,,,,,,
"latah county, id",,,,,,,,,,,,,,,,,20273.0,19742.0,82.8,60108.0,531.0,2.6,
latimer county,102.0,173.0,165.0,302.0,1.0,102.0,-71.0,166.0,9556.0,10.7,18.2,17.4,0.1,-7.5,17.5,7.0,,,,,,,
"latimer county, ok",,,,,,,,,,,,,,,,,3175.0,2995.0,71.1,42409.0,180.0,5.7,
lauderdale county,943.0,1312.0,1323.0,4139.0,51.0,1022.0,-369.0,1374.0,95875.0,9.9,13.8,13.9,0.5,-3.9,14.4,17.0,,,,,,,
"lauderdale county, al",,,,,,,,,,,,,,,,,42754.0,41654.0,98.9,59023.0,1100.0,2.6,
"lauderdale county, ms",,,,,,,,,,,,,,,,,28711.0,27574.0,93.5,49351.0,1137.0,4.0,
"lauderdale county, tn",,,,,,,,,,,,,,,,,9404.0,8961.0,72.9,47575.0,443.0,4.7,
laurel county,698.0,919.0,518.0,1082.0,12.0,299.0,-221.0,530.0,62879.0,11.1,14.7,8.3,0.2,-3.5,8.4,-10.0,,,,,,,
"laurel county, ky",,,,,,,,,,,,,,,,,24935.0,23867.0,85.6,50721.0,1068.0,4.3,
laurens county,596.0,777.0,308.0,910.0,69.0,186.0,-181.0,377.0,49710.0,12.0,15.7,6.2,1.4,-3.6,7.6,-10.0,,,,,,,
"laurens county, ga",,,,,,,,,,,,,,,,,19257.0,18496.0,65.9,47918.0,761.0,4.0,
"laurens county, sc",,,,,,,,,,,,,,,,,30273.0,29263.0,83.8,53847.0,1010.0,3.3,
lavaca county,248.0,296.0,167.0,373.0,3.0,115.0,-48.0,170.0,20653.0,12.0,14.4,8.1,0.1,-2.3,8.3,-7.0,,,,,,,
"lavaca county, tx",,,,,,,,,,,,,,,,,9146.0,8835.0,80.8,58400.0,311.0,3.4,
lawrence county,383.0,543.0,273.0,219.0,0.0,114.0,-160.0,273.0,33187.0,11.6,16.4,8.2,0.0,-4.8,8.2,1.0,,,,,,,
"lawrence county, al",,,,,,,,,,,,,,,,,14691.0,14346.0,93.0,55516.0,345.0,2.3,
"lawrence county, ar",,,,,,,,,,,,,,,,,6757.0,6522.0,85.2,47312.0,235.0,3.5,
"lawrence county, il",,,,,,,,,,,,,,,,,5114.0,4817.0,74.9,57460.0,297.0,5.8,
"lawrence county, in",,,,,,,,,,,,,,,,,20524.0,19820.0,90.1,60141.0,704.0,3.4,
"lawrence county, ky",,,,,,,,,,,,,,,,,5582.0,5276.0,72.2,42776.0,306.0,5.5,
"lawrence county, mo",,,,,,,,,,,,,,,,,16923.0,16495.0,89.6,58031.0,428.0,2.5,
"lawrence county, ms",,,,,,,,,,,,,,,,,4760.0,4541.0,87.9,46407.0,219.0,4.6,
"lawrence county, oh",,,,,,,,,,,,,,,,,23346.0,22267.0,77.6,51062.0,1079.0,4.6,
"lawrence county, pa",,,,,,,,,,,,,,,,,39277.0,37299.0,81.8,58730.0,1978.0,5.0,
"lawrence county, sd",,,,,,,,,,,,,,,,,14128.0,13864.0,95.8,67606.0,264.0,1.9,
"lawrence county, tn",,,,,,,,,,,,,,,,,19266.0,18594.0,85.2,55562.0,672.0,3.5,
le flore county,674.0,819.0,526.0,1666.0,23.0,399.0,-145.0,549.0,49002.0,13.8,16.8,10.8,0.5,-3.0,11.2,-5.0,,,,,,,
"le flore county, ok",,,,,,,,,,,,,,,,,19773.0,19035.0,78.9,47026.0,738.0,3.7,
le sueur county,318.0,295.0,186.0,306.0,24.0,224.0,23.0,210.0,29124.0,11.0,10.2,6.4,0.8,0.8,7.2,-9.0,,,,,,,
"le sueur county, mn",,,,,,,,,,,,,,,,,15845.0,15305.0,105.5,86864.0,540.0,3.4,
lea county,930.0,756.0,-1446.0,2129.0,514.0,-719.0,174.0,-932.0,72343.0,12.8,10.4,-19.9,7.1,2.4,-12.8,39.0,,,,,,,
"lea county, nm",,,,,,,,,,,,,,,,,29141.0,27846.0,98.9,59194.0,1295.0,4.4,
leake county,324.0,318.0,-108.0,374.0,56.0,-57.0,6.0,-52.0,21203.0,15.3,15.0,-5.1,2.6,0.3,-2.4,-11.0,,,,,,,
"leake county, ms",,,,,,,,,,,,,,,,,7817.0,7498.0,88.0,46429.0,319.0,4.1,
leavenworth county,900.0,818.0,428.0,6058.0,58.0,524.0,82.0,486.0,82922.0,10.9,9.9,5.2,0.7,1.0,5.9,-44.0,,,,,,,
"leavenworth county, ks",,,,,,,,,,,,,,,,,37437.0,36362.0,115.0,79117.0,1075.0,2.9,
lebanon county,1587.0,1884.0,300.0,3325.0,230.0,143.0,-297.0,530.0,143902.0,11.0,13.1,2.1,1.6,-2.1,3.7,-90.0,,,,,,,
"lebanon county, pa",,,,,,,,,,,,,,,,,73340.0,70790.0,96.8,69490.0,2550.0,3.5,
lee county,1942.0,1461.0,2116.0,5340.0,510.0,3102.0,481.0,2626.0,180698.0,10.8,8.2,11.8,2.8,2.7,14.7,-5.0,,,,,,,
"lee county, al",,,,,,,,,,,,,,,,,78872.0,77053.0,99.9,59637.0,1819.0,2.3,
"lee county, ar",,,,,,,,,,,,,,,,,2552.0,2439.0,63.4,35213.0,113.0,4.4,
"lee county, fl",,,,,,,,,,,,,,,,,369688.0,357585.0,103.3,71607.0,12103.0,3.3,
"lee county, ga",,,,,,,,,,,,,,,,,15010.0,14563.0,115.8,84260.0,447.0,3.0,
"lee county, ia",,,,,,,,,,,,,,,,,14890.0,14193.0,84.7,59017.0,697.0,4.7,
"lee county, il",,,,,,,,,,,,,,,,,16636.0,15948.0,87.8,67371.0,688.0,4.1,
"lee county, ky",,,,,,,,,,,,,,,,,2069.0,1954.0,58.5,34632.0,115.0,5.6,
"lee county, ms",,,,,,,,,,,,,,,,,40555.0,39233.0,110.4,58266.0,1322.0,3.3,
"lee county, nc",,,,,,,,,,,,,,,,,26030.0,24922.0,86.3,58244.0,1108.0,4.3,
"lee county, sc",,,,,,,,,,,,,,,,,6421.0,6125.0,64.7,41583.0,296.0,4.6,
"lee county, tx",,,,,,,,,,,,,,,,,8794.0,8481.0,91.2,65911.0,313.0,3.6,
"lee county, va",,,,,,,,,,,,,,,,,8194.0,7893.0,48.4,41573.0,301.0,3.7,
leelanau county,185.0,324.0,377.0,181.0,10.0,256.0,-139.0,387.0,22883.0,8.1,14.2,16.6,0.4,-6.1,17.0,8.0,,,,,,,
"leelanau county, mi",,,,,,,,,,,,,,,,,10365.0,9935.0,133.0,89007.0,430.0,4.1,
leflore county,381.0,442.0,-740.0,899.0,20.0,-761.0,-61.0,-720.0,26664.0,14.1,16.3,-27.4,0.7,-2.3,-26.6,20.0,,,,,,,
"leflore county, ms",,,,,,,,,,,,,,,,,9365.0,8870.0,67.3,35520.0,495.0,5.3,
lehigh county,3968.0,3984.0,-1208.0,7723.0,1770.0,385.0,-16.0,562.0,376274.0,10.6,10.6,-3.2,4.7,0.0,1.5,-161.0,,,,,,,
"lehigh county, pa",,,,,,,,,,,,,,,,,196923.0,188905.0,101.1,72590.0,8018.0,4.1,
lemhi county,62.0,148.0,202.0,75.0,3.0,124.0,-86.0,205.0,8284.0,7.5,18.0,24.6,0.4,-10.5,24.9,5.0,,,,,,,
"lemhi county, id",,,,,,,,,,,,,,,,,4066.0,3913.0,76.5,55554.0,153.0,3.8,
lenawee county,827.0,1318.0,-432.0,4655.0,126.0,-820.0,-491.0,-306.0,98280.0,8.4,13.4,-4.4,1.3,-5.0,-3.1,-23.0,,,,,,,
"lenawee county, mi",,,,,,,,,,,,,,,,,45179.0,43133.0,100.8,67486.0,2046.0,4.5,
lenoir county,655.0,950.0,119.0,1264.0,25.0,-184.0,-295.0,144.0,54499.0,12.0,17.4,2.2,0.5,-5.4,2.6,-33.0,,,,,,,
"lenoir county, nc",,,,,,,,,,,,,,,,,27614.0,26587.0,68.7,46410.0,1027.0,3.7,
leon county,2805.0,2563.0,527.0,17867.0,711.0,1275.0,242.0,1238.0,297282.0,9.5,8.6,1.8,2.4,0.8,4.2,-205.0,,,,,,,
"leon county, fl",,,,,,,,,,,,,,,,,157537.0,152653.0,88.8,61560.0,4884.0,3.1,
"leon county, tx",,,,,,,,,,,,,,,,,6098.0,5779.0,78.5,56749.0,319.0,5.2,
leslie county,96.0,208.0,-122.0,324.0,0.0,-231.0,-112.0,-122.0,10049.0,9.4,20.5,-12.0,0.0,-11.0,-12.0,3.0,,,,,,,
"leslie county, ky",,,,,,,,,,,,,,,,,2494.0,2325.0,61.9,36666.0,169.0,6.8,
letcher county,180.0,444.0,-130.0,309.0,0.0,-397.0,-264.0,-130.0,20827.0,8.6,21.1,-6.2,0.0,-12.6,-6.2,-3.0,,,,,,,
"letcher county, ky",,,,,,,,,,,,,,,,,5891.0,5521.0,63.9,37854.0,370.0,6.3,
levy county,391.0,732.0,1318.0,279.0,53.0,1097.0,-341.0,1371.0,45253.0,8.7,16.4,29.5,1.2,-7.6,30.7,67.0,,,,,,,
"levy county, fl",,,,,,,,,,,,,,,,,17095.0,16483.0,79.6,55147.0,612.0,3.6,
lewis and clark county,700.0,796.0,1231.0,1527.0,103.0,1277.0,-96.0,1334.0,73784.0,9.6,10.9,16.8,1.4,-1.3,18.2,39.0,,,,,,,
"lewis and clark county, mt",,,,,,,,,,,,,,,,,38130.0,37197.0,106.7,72491.0,933.0,2.4,
lewis county,33.0,67.0,67.0,105.0,1.0,35.0,-34.0,68.0,3725.0,8.9,18.1,18.1,0.3,-9.2,18.3,1.0,,,,,,,
"lewis county, id",,,,,,,,,,,,,,,,,1656.0,1587.0,75.9,55128.0,69.0,4.2,
"lewis county, ky",,,,,,,,,,,,,,,,,4549.0,4212.0,74.4,44098.0,337.0,7.4,
"lewis county, mo",,,,,,,,,,,,,,,,,4699.0,4587.0,88.1,57053.0,112.0,2.4,
"lewis county, ny",,,,,,,,,,,,,,,,,11650.0,11175.0,81.1,64452.0,475.0,4.1,
"lewis county, tn",,,,,,,,,,,,,,,,,5576.0,5374.0,81.5,53189.0,202.0,3.6,
"lewis county, wa",,,,,,,,,,,,,,,,,34539.0,32560.0,74.5,67954.0,1979.0,5.7,
"lewis county, wv",,,,,,,,,,,,,,,,,6155.0,5860.0,98.5,53283.0,295.0,4.8,
lexington city,122.0,75.0,-20.0,2709.0,27.0,51.0,47.0,7.0,7506.0,16.3,10.0,-2.7,3.6,6.3,0.9,-3.0,,,,,,,
"lexington city, va",,,,,,,,,,,,,,,,,2213.0,2124.0,72.7,62382.0,89.0,4.0,
lexington county,3389.0,3292.0,3885.0,2563.0,487.0,4455.0,97.0,4372.0,305105.0,11.2,10.9,12.8,1.6,0.3,14.4,-14.0,,,,,,,
"lexington county, sc",,,,,,,,,,,,,,,,,152183.0,148158.0,113.7,73022.0,4025.0,2.6,
liberty county,73.0,84.0,307.0,1539.0,0.0,323.0,-11.0,307.0,7613.0,9.8,11.3,41.2,0.0,-1.5,41.2,27.0,,,,,,,
"liberty county, fl",,,,,,,,,,,,,,,,,2574.0,2488.0,71.5,49514.0,86.0,3.3,
"liberty county, ga",,,,,,,,,,,,,,,,,26025.0,25141.0,82.2,59807.0,884.0,3.4,
"liberty county, mt",,,,,,,,,,,,,,,,,969.0,945.0,78.9,53601.0,24.0,2.5,
"liberty county, tx",,,,,,,,,,,,,,,,,35332.0,33238.0,85.6,61880.0,2094.0,5.9,
