county,births_2022,deaths_2022,domestic_mig_2022,gq_estimates_2022,international_mig_2022,n_pop_chg_2022,natural_chg_2022,net_mig_2022,pop_estimate_2022,r_birth_2022,r_death_2022,r_domestic_mig_2022,r_international_mig_2022,r_natural_chg_2022,r_net_mig_2022,residual_2022,civilian_labor_force_2022,employed_2022,med_hh_income_percent_of_state_total_2022,median_household_income_2022,unemployed_2022,unemployment_rate_2022,state
"athens county, oh",,,,,,,,,,,,,,,,,26044.0,24792.0,73.4,48265.0,1252.0,4.8,
atkinson county,125.0,134.0,-234.0,10.0,53.0,-188.0,-9.0,-181.0,8160.0,15.1,16.2,-28.3,6.4,-1.1,-21.9,2.0,,,,,,,
"atkinson county, ga",,,,,,,,,,,,,,,,,4316.0,4193.0,63.3,46060.0,123.0,2.8,
atlantic county,2771.0,3233.0,363.0,5697.0,700.0,426.0,-462.0,1063.0,275382.0,10.1,11.7,1.3,2.5,-1.7,3.9,-175.0,,,,,,,
"atlantic county, nj",,,,,,,,,,,,,,,,,122428.0,115832.0,79.0,76108.0,6596.0,5.4,
atoka county,137.0,194.0,76.0,1581.0,16.0,33.0,-57.0,92.0,14327.0,9.6,13.6,5.3,1.1,-4.0,6.4,-2.0,,,,,,,
"atoka county, ok",,,,,,,,,,,,,,,,,5160.0,4958.0,77.4,46160.0,202.0,3.9,
attala county,222.0,304.0,-97.0,251.0,-1.0,-185.0,-82.0,-98.0,17530.0,12.6,17.3,-5.5,-0.1,-4.7,-5.6,-5.0,,,,,,,
"attala county, ms",,,,,,,,,,,,,,,,,6837.0,6553.0,84.1,44404.0,284.0,4.2,
audrain county,287.0,338.0,-352.0,1287.0,1.0,-379.0,-51.0,-351.0,24482.0,11.6,13.7,-14.3,0.0,-2.1,-14.2,23.0,,,,,,,
"audrain county, mo",,,,,,,,,,,,,,,,,9832.0,9528.0,86.9,56305.0,304.0,3.1,
audubon county,62.0,85.0,-52.0,102.0,5.0,-70.0,-23.0,-47.0,5575.0,11.1,15.2,-9.3,0.9,-4.1,-8.4,0.0,,,,,,,
"audubon county, ia",,,,,,,,,,,,,,,,,3085.0,3014.0,86.8,60504.0,71.0,2.3,
auglaize county,521.0,611.0,-213.0,466.0,3.0,-309.0,-90.0,-210.0,45946.0,11.3,13.3,-4.6,0.1,-2.0,-4.6,-9.0,,,,,,,
"auglaize county, oh",,,,,,,,,,,,,,,,,23978.0,23238.0,108.9,71669.0,740.0,3.1,
augusta county,520.0,962.0,583.0,2999.0,47.0,175.0,-442.0,630.0,77939.0,6.7,12.4,7.5,0.6,-5.7,8.1,-13.0,,,,,,,
"augusta county, va",,,,,,,,,,,,,,,,,38307.0,37354.0,90.3,77487.0,953.0,2.5,
aurora county,40.0,44.0,21.0,99.0,9.0,26.0,-4.0,30.0,2762.0,14.6,16.0,7.6,3.3,-1.5,10.9,0.0,,,,,,,
"aurora county, sd",,,,,,,,,,,,,,,,,1488.0,1461.0,86.4,61013.0,27.0,1.8,
austin county,378.0,362.0,607.0,228.0,10.0,639.0,16.0,617.0,31070.0,12.3,11.8,19.7,0.3,0.5,20.1,6.0,,,,,,,
"austin county, tx",,,,,,,,,,,,,,,,,14133.0,13571.0,95.0,68630.0,562.0,4.0,
autauga county,706.0,687.0,507.0,484.0,22.0,523.0,19.0,529.0,59726.0,11.9,11.6,8.5,0.4,0.3,8.9,-25.0,,,,,,,
